Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,52781,116
100,50,96316,197
100,75,144432,161
100,100,214619,104
200,25,196202,2089
200,50,426180,3848
200,75,340942,2728
200,100,658775,2535
300,25,324290,14096
300,50,863815,15424
300,75,0,0
300,100,0,0
