Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,63336,114
100,50,130274,145
100,75,189301,95
100,100,252068,89
200,25,244909,2131
200,50,563786,2826
200,75,551098,4158
200,100,914399,2653
300,25,428830,10892
300,50,1141011,12361
300,75,0,0
300,100,0,0
