Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,44458,10
100,50,90204,23
100,75,134872,15
100,100,212141,10
200,25,173654,153
200,50,395529,132
200,75,326146,128
200,100,651750,212
300,25,283676,259
300,50,803109,1121
300,75,0,0
300,100,0,0
